"","Name","Total_Points"
"1","Kashmere",114247
"2","East Fifth Ward",102328
"3","Westpark East",19652
"4","Deer Park",51371
"5","Westpark West",15485
"6","Cypress",103994
"7","Memorial Park",127087
"8","Pasadena Northwest",55642
"9","Aldine Northeast",62759
"10","Baytown North",54349
"11","Independence Heights",43957
"12","Aldine Northwest",37843
"13","Baytown West",57676
"14","Aldine Southeast",23852
"15","South River Oaks",58690
"16","Bayland Park",172716
"17","Washington Corridor",267666
"18","Manchester",104402
"19","East Galena Park",94856
"20","Milby Park",130934
"21","Sharpstown",113233
"22","Sharpstown South",139378
"23","North River Oaks",85625
"24","West Galena Park",155517
"25","North Spring Branch",123554
"26","North Rice",351564
"27","Clinton",209952
"28","West Eastex",187535
"29","North Heights",293177
"30","South Rice",207056
"31","Harrisburg",138837
"32","Sharpstown North",146504
"33","Westchase",90751
"34","South Spring Branch",90291
"35","South Beltway Central",414782
